(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1) 572631745.4518094
(-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1) 617069.7353855611
(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 1) 548824.8896254618
(-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, -1, -1, -1) 493801.05273754254
(-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1) 74133.78980518
(0, 1, -1, -1, -1, 0, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 1) 20000.0
(0, -1, -1, 1, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 1, 0, -1, -1, -1, 1) 20000.0
(0, 0, 0, 0, 0, 1, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 0, 0, -1, 1, 1) 10000.0
(0, -1, 1, 1, 1, 0, -1, -1, 1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 1) 10000.0
(1, 0, 1, -1, 1, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, 1, 0, -1, -1, 1, 0, 0, 0, 0, 0) 10000.0
(1, 1, 1, 0, 1, 0, -1, -1, 1, 0, 1, -1, 0, -1, 1, 1, -1, 1, 1, 0, 0, 0, 0, 0, 0) 10000.0
(0, 1, -1, -1, 1, 0, -1, -1, -1, 1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 1, 0, 0, 1, -1, 1) 10000.0
(0, 1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, 1, -1, -1, 1) 10000.0
(0, -1, -1, 1, 1, 0, -1, -1, 1, -1, 0, 1, -1, -1, -1, 0, -1, -1, -1, 1, 0, -1, -1, -1, 1) 10000.0
(1, 1, 1, 1, 0, -1, 0, 0, 1, 1, 0, -1, -1, 0, 1, 1, -1, -1, -1, -1, 0, 0, 0, 0, 0) 10000.0
(0, 0, 0, 0, 0, 1, -1, 1, 0, 1, 0, -1, -1, -1, 1, 0, 0, -1, 1, 1, 1, -1, 1, -1, 1) 10000.0
(1, 1, 0, 0, 0, 0, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1, 1, 0, 0, 0, 0, 0) 10000.0
(0, 1, 1, 1, 0, 0, -1, 1, 0, 0, 0, -1, 1, 1, 1, 0, 0, 0, -1, 1, 0, 1, 0, 1, 1) 10000.0
(0, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, 1, -1, -1) 10000.0
(0, -1, -1, 1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 1, 0, -1, -1, 1, 1) 10000.0
(1, 0, 1, 0, 0, 1, -1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1) 10000.0
(0, -1, 1, 1, 0, 0, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, -1, -1, 1) 10000.0
